Menmonique;paramètres;;;;opcode;;;;extension
VMCALL;;;;;0F;;1;C1;0
VMLAUNCH;;;;;0F;;1;C2;0
VMRESUME;;;;;0F;;1;C3;0
VMXOFF;;;;;0F;;1;C4;0
SIDT;m;IDTR;;;0F;;1;;1
MONITOR;m8;ECX;EDX;;0F;;1;C8;1
MWAIT;EAX;ECX;;;0F;;1;C9;1
LGDT;GDTR;m;;;0F;;1;;2
XGETBV;EDX;EAX;ECX;XCR;0F;;1;D0;2
XSETBV;XCR;ECX;EDX;EAX;0F;;1;D1;2
LIDT;IDTR;m;;;0F;;1;;3
SMSW;m16;MSW;;;0F;;1;;4
SMSW;r16/32;MSW;;;0F;;1;;4
LMSW;MSW;r/m16;;;0F;;1;;6
INVLPG;m;;;;0F;;1;;7
RDTSCP;EAX;EDX;ECX;...;0F;;1;F9;7
LAR;r16/32;m16;;;0F;;2;;r
LAR;r16/32;r16/32;;;0F;;2;;
LSL;r16/32;m16;;;0F;;3;;r
LSL;r16/32;r16/32;;;0F;;3;;
CLTS;CR0;;;;0F;;6;;
INVD;;;;;0F;;8;;
WBINVD;;;;;0F;;9;;
UD2;;;;;0F;;0B;;
NOP;r/m16/32;;;;0F;;0D;;
MOVUPS;xmm;xmm/m128;;;0F;;10;;r
MOVSS;xmm;xmm/m32;;;0F;F3;10;;r
MOVUPD;xmm;xmm/m128;;;0F;66;10;;r
MOVSD;xmm;xmm/m64;;;0F;F2;10;;r
MOVUPS;xmm/m128;xmm;;;0F;;11;;r
MOVSS;xmm/m32;xmm;;;0F;F3;11;;r
MOVUPD;xmm/m128;xmm;;;0F;66;11;;r
MOVSD;xmm/m64;xmm;;;0F;F2;11;;r
MOVHLPS;xmm;xmm;;;0F;;12;;r
MOVLPS;xmm;m64;;;0F;;12;;r
MOVLPD;xmm;m64;;;0F;66;12;;r
MOVDDUP;xmm;xmm/m64;;;0F;F2;12;;r
MOVSLDUP;xmm;xmm/m64;;;0F;F3;12;;r
MOVLPS;m64;xmm;;;0F;;13;;r
MOVLPD;m64;xmm;;;0F;66;13;;r
UNPCKLPS;xmm;xmm/m64;;;0F;;14;;r
UNPCKLPD;xmm;xmm/m128;;;0F;66;14;;r
UNPCKHPS;xmm;xmm/m64;;;0F;;15;;r
UNPCKHPD;xmm;xmm/m128;;;0F;66;15;;r
MOVLHPS;xmm;xmm;;;0F;;16;;r
